case_id,step_index,ts_utc,approve_signal,reject_signal,escalate_signal,evidence_phase
dev-ambiguous-2,0,2026-03-02T08:00:00Z,0.425,0.385,0.53,1
dev-ambiguous-2,1,2026-03-02T09:07:00Z,0.455,0.425,0.69,2
dev-ambiguous-2,2,2026-03-02T10:14:00Z,0.475,0.445,0.75,3
dev-ambiguous-2,3,2026-03-02T11:21:00Z,0.505,0.465,0.8,4
dev-ambiguous-2,4,2026-03-02T12:28:00Z,0.525,0.475,0.85,5
dev-ambiguous-2,5,2026-03-02T13:35:00Z,0.535,0.485,0.89,6
dev-approve-3,0,2026-02-03T08:00:00Z,0.45,0.08,0.44,1
dev-approve-3,1,2026-02-03T09:07:00Z,0.68,0.11,0.4,2
dev-approve-3,2,2026-02-03T10:14:00Z,0.84,0.1,0.29,3
dev-approve-3,3,2026-02-03T11:21:00Z,0.91,0.08,0.2,4
dev-approve-3,4,2026-02-03T12:28:00Z,0.94,0.08,0.18,5
dev-approve-3,5,2026-02-03T13:35:00Z,0.96,0.08,0.16,6
dev-reject-3,0,2026-02-03T08:00:00Z,0.1,0.44,0.45,1
dev-reject-3,1,2026-02-03T09:07:00Z,0.12,0.67,0.4,2
dev-reject-3,2,2026-02-03T10:14:00Z,0.11,0.83,0.28,3
dev-reject-3,3,2026-02-03T11:21:00Z,0.1,0.91,0.2,4
dev-reject-3,4,2026-02-03T12:28:00Z,0.08,0.94,0.18,5
dev-reject-3,5,2026-02-03T13:35:00Z,0.08,0.96,0.16,6
dev-late-3,0,2026-03-03T08:00:00Z,0.24,0.22,0.36,1
dev-late-3,1,2026-03-03T09:07:00Z,0.28,0.24,0.4,2
dev-late-3,2,2026-03-03T10:14:00Z,0.36,0.3,0.43,3
dev-late-3,3,2026-03-03T11:21:00Z,0.81,0.33,0.4,4
dev-late-3,4,2026-03-03T12:28:00Z,0.87,0.3,0.36,5
dev-late-3,5,2026-03-03T13:35:00Z,0.9,0.28,0.34,6
dev-ambiguous-3,0,2026-03-03T08:00:00Z,0.43,0.39,0.54,1
dev-ambiguous-3,1,2026-03-03T09:07:00Z,0.46,0.43,0.7,2
dev-ambiguous-3,2,2026-03-03T10:14:00Z,0.48,0.45,0.76,3
dev-ambiguous-3,3,2026-03-03T11:21:00Z,0.51,0.47,0.81,4
dev-ambiguous-3,4,2026-03-03T12:28:00Z,0.53,0.48,0.86,5
dev-ambiguous-3,5,2026-03-03T13:35:00Z,0.54,0.49,0.9,6
dev-approve-4,0,2026-02-04T08:00:00Z,0.455,0.08,0.43,1
dev-approve-4,1,2026-02-04T09:07:00Z,0.685,0.11,0.39,2
dev-approve-4,2,2026-02-04T10:14:00Z,0.845,0.1,0.28,3
dev-approve-4,3,2026-02-04T11:21:00Z,0.915,0.08,0.19,4
dev-approve-4,4,2026-02-04T12:28:00Z,0.945,0.08,0.17,5
dev-approve-4,5,2026-02-04T13:35:00Z,0.965,0.08,0.15,6
dev-reject-4,0,2026-02-04T08:00:00Z,0.1,0.445,0.44,1
dev-reject-4,1,2026-02-04T09:07:00Z,0.12,0.675,0.39,2
dev-reject-4,2,2026-02-04T10:14:00Z,0.11,0.835,0.27,3
dev-reject-4,3,2026-02-04T11:21:00Z,0.1,0.915,0.19,4
dev-reject-4,4,2026-02-04T12:28:00Z,0.08,0.945,0.17,5
dev-reject-4,5,2026-02-04T13:35:00Z,0.08,0.965,0.15,6
dev-late-4,0,2026-03-04T08:00:00Z,0.22,0.24,0.36,1
dev-late-4,1,2026-03-04T09:07:00Z,0.24,0.28,0.4,2
dev-late-4,2,2026-03-04T10:14:00Z,0.3,0.36,0.43,3
dev-late-4,3,2026-03-04T11:21:00Z,0.33,0.81,0.4,4
dev-late-4,4,2026-03-04T12:28:00Z,0.3,0.87,0.36,5
dev-late-4,5,2026-03-04T13:35:00Z,0.28,0.9,0.34,6
dev-ambiguous-4,0,2026-03-04T08:00:00Z,0.435,0.395,0.55,1
dev-ambiguous-4,1,2026-03-04T09:07:00Z,0.465,0.435,0.71,2
dev-ambiguous-4,2,2026-03-04T10:14:00Z,0.485,0.455,0.77,3
dev-ambiguous-4,3,2026-03-04T11:21:00Z,0.515,0.475,0.82,4
dev-ambiguous-4,4,2026-03-04T12:28:00Z,0.535,0.485,0.87,5
dev-ambiguous-4,5,2026-03-04T13:35:00Z,0.545,0.495,0.91,6
holdout-approve-1,0,2026-02-17T08:00:00Z,0.44,0.08,0.46,1
holdout-approve-1,1,2026-02-17T09:07:00Z,0.67,0.11,0.42,2
holdout-approve-1,2,2026-02-17T10:14:00Z,0.83,0.1,0.31,3
holdout-approve-1,3,2026-02-17T11:21:00Z,0.9,0.08,0.22,4
holdout-approve-1,4,2026-02-17T12:28:00Z,0.93,0.08,0.2,5
holdout-approve-1,5,2026-02-17T13:35:00Z,0.95,0.08,0.18,6
holdout-reject-1,0,2026-02-17T08:00:00Z,0.1,0.43,0.47,1
holdout-reject-1,1,2026-02-17T09:07:00Z,0.12,0.66,0.42,2
holdout-reject-1,2,2026-02-17T10:14:00Z,0.11,0.82,0.3,3
holdout-reject-1,3,2026-02-17T11:21:00Z,0.1,0.9,0.22,4
holdout-reject-1,4,2026-02-17T12:28:00Z,0.08,0.93,0.2,5
holdout-reject-1,5,2026-02-17T13:35:00Z,0.08,0.95,0.18,6
holdout-late-1,0,2026-03-17T08:00:00Z,0.24,0.22,0.37,1
holdout-late-1,1,2026-03-17T09:07:00Z,0.28,0.24,0.41,2
holdout-late-1,2,2026-03-17T10:14:00Z,0.36,0.3,0.44,3
holdout-late-1,3,2026-03-17T11:21:00Z,0.81,0.33,0.41,4
holdout-late-1,4,2026-03-17T12:28:00Z,0.87,0.3,0.37,5
holdout-late-1,5,2026-03-17T13:35:00Z,0.9,0.28,0.35,6
holdout-ambiguous-1,0,2026-03-17T08:00:00Z,0.42,0.38,0.52,1
holdout-ambiguous-1,1,2026-03-17T09:07:00Z,0.45,0.42,0.68,2
holdout-ambiguous-1,2,2026-03-17T10:14:00Z,0.47,0.44,0.74,3
holdout-ambiguous-1,3,2026-03-17T11:21:00Z,0.5,0.46,0.79,4
holdout-ambiguous-1,4,2026-03-17T12:28:00Z,0.52,0.47,0.84,5
holdout-ambiguous-1,5,2026-03-17T13:35:00Z,0.53,0.48,0.88,6
holdout-approve-2,0,2026-02-18T08:00:00Z,0.445,0.08,0.45,1
holdout-approve-2,1,2026-02-18T09:07:00Z,0.675,0.11,0.41,2
holdout-approve-2,2,2026-02-18T10:14:00Z,0.835,0.1,0.3,3
holdout-approve-2,3,2026-02-18T11:21:00Z,0.905,0.08,0.21,4
holdout-approve-2,4,2026-02-18T12:28:00Z,0.935,0.08,0.19,5
holdout-approve-2,5,2026-02-18T13:35:00Z,0.955,0.08,0.17,6
holdout-reject-2,0,2026-02-18T08:00:00Z,0.1,0.435,0.46,1
holdout-reject-2,1,2026-02-18T09:07:00Z,0.12,0.665,0.41,2
holdout-reject-2,2,2026-02-18T10:14:00Z,0.11,0.825,0.29,3
holdout-reject-2,3,2026-02-18T11:21:00Z,0.1,0.905,0.21,4
holdout-reject-2,4,2026-02-18T12:28:00Z,0.08,0.935,0.19,5
holdout-reject-2,5,2026-02-18T13:35:00Z,0.08,0.955,0.17,6
holdout-late-2,0,2026-03-18T08:00:00Z,0.22,0.24,0.37,1
holdout-late-2,1,2026-03-18T09:07:00Z,0.24,0.28,0.41,2
holdout-late-2,2,2026-03-18T10:14:00Z,0.3,0.36,0.44,3
holdout-late-2,3,2026-03-18T11:21:00Z,0.33,0.81,0.41,4
holdout-late-2,4,2026-03-18T12:28:00Z,0.3,0.87,0.37,5
holdout-late-2,5,2026-03-18T13:35:00Z,0.28,0.9,0.35,6
holdout-ambiguous-2,0,2026-03-18T08:00:00Z,0.425,0.385,0.53,1
holdout-ambiguous-2,1,2026-03-18T09:07:00Z,0.455,0.425,0.69,2
holdout-ambiguous-2,2,2026-03-18T10:14:00Z,0.475,0.445,0.75,3
holdout-ambiguous-2,3,2026-03-18T11:21:00Z,0.505,0.465,0.8,4
holdout-ambiguous-2,4,2026-03-18T12:28:00Z,0.525,0.475,0.85,5
holdout-ambiguous-2,5,2026-03-18T13:35:00Z,0.535,0.485,0.89,6
